ENTREZID;CDSeq_estimated_cell_type_1;CDSeq_estimated_cell_type_2;CDSeq_estimated_cell_type_3;CDSeq_estimated_cell_type_4;CDSeq_estimated_cell_type_5;CDSeq_estimated_cell_type_6
128602;3,05E+08;2,78E+08;1,91E+07;3,76E+08;2,22E+07;2,04E+07
401565;7,38E+08;1,39E+09;3,25E+08;1,66E+08;4,10E+09;4,71E+09
730112;5,86E+08;2,78E+08;1,34E+08;2,21E+06;7,76E+08;6,12E+07
339778;2,74E+09;2,07E+09;1,13E+09;2,88E+08;9,54E+07;4,28E+08
339669;3,98E+08;1,55E+08;1,91E+07;2,88E+08;2,22E+07;7,54E+07
130813;1,64E+08;6,49E+08;7,45E+08;1,55E+08;2,44E+08;2,04E+07
129852;6,80E+08;2,16E+08;3,63E+08;3,76E+08;8,21E+08;7,54E+07
51550;1,90E+09;6,49E+08;9,75E+07;1,55E+08;2,44E+08;7,95E+08
57650;1,99E+09;2,78E+08;2,87E+08;2,88E+08;1,11E+07;1,84E+08
85457;1,01E+09;2,50E+09;2,01E+09;1,13E+09;7,30E+08;1,65E+09
9541;2,88E+09;3,09E+07;4,78E+08;4,36E+09;8,21E+08;3,98E+09
1153;1,54E+09;9,27E+07;3,66E+09;5,42E+09;6,65E+07;2,24E+08
148046;3,16E+08;7,73E+08;9,56E+07;2,88E+08;1,26E+09;8,36E+08
55847;1,29E+09;2,78E+08;2,87E+08;5,16E+09;1,05E+09;3,81E+09
493856;3,05E+08;3,49E+09;7,17E+09;2,86E+09;1,08E+09;4,26E+09
284106;3,63E+09;2,87E+09;8,22E+08;6,64E+07;6,14E+09;9,03E+09
1154;2,70E+09;1,70E+09;4,40E+08;5,53E+08;2,44E+08;5,69E+09
11113;6,35E+09;8,69E+09;6,98E+09;4,65E+08;2,33E+09;6,14E+08
4435;2,60E+09;4,02E+08;5,92E+08;8,19E+08;2,44E+08;2,04E+07
10370;9,49E+08;1,08E+09;2,39E+09;2,21E+06;2,02E+09;5,69E+09
163732;2,13E+09;1,21E+09;1,09E+09;9,08E+08;2,22E+07;1,02E+08
25792;7,71E+09;1,85E+09;9,46E+09;7,55E+09;1,53E+09;7,44E+09
26586;2,65E+09;1,27E+09;5,92E+08;3,32E+07;1,18E+09;4,51E+09
150468;6,80E+08;1,55E+08;4,01E+08;4,21E+08;2,88E+08;6,12E+07
10970;1,05E+09;1,95E+09;2,77E+09;4,41E+08;3,57E+09;4,95E+09
9793;1,24E+09;6,77E+09;1,32E+09;9,67E+09;2,51E+09;1,43E+08
1152;5,84E+09;1,55E+08;3,12E+09;1,84E+09;1,93E+09;1,11E+09
51192;7,57E+09;8,38E+09;5,56E+09;9,52E+08;1,05E+09;2,04E+07
1158;3,98E+08;9,27E+07;1,34E+08;2,21E+06;2,44E+08;1,02E+08
1159;9,61E+08;5,35E+09;5,14E+09;1,13E+09;7,16E+09;5,81E+09
1160;7,03E+05;2,78E+08;1,91E+07;5,53E+08;2,22E+07;7,54E+07
100131067;9,14E+07;4,64E+08;5,16E+08;8,19E+08;1,57E+09;1,37E+09
1163;7,73E+07;5,26E+08;8,98E+08;6,64E+07;1,53E+09;2,04E+07
1164;1,64E+08;3,09E+07;9,56E+07;6,64E+07;4,66E+08;3,47E+08
23332;2,34E+07;5,47E+09;1,43E+09;3,25E+09;4,55E+09;6,73E+08
23122;1,24E+09;1,07E+09;2,11E+09;3,86E+09;2,45E+09;5,34E+09
11129;4,15E+09;3,93E+09;2,20E+09;4,72E+09;6,65E+07;4,02E+09
122616;2,65E+09;5,26E+08;2,87E+08;6,64E+07;4,66E+08;1,41E+08
1178;3,52E+06;3,09E+07;1,91E+07;6,64E+07;7,76E+08;6,12E+07
1179;2,58E+08;1,55E+08;2,48E+08;6,64E+07;6,65E+07;3,47E+08
9635;6,80E+08;5,87E+08;1,34E+08;1,17E+09;4,21E+07;1,20E+09
9629;2,11E+07;9,27E+07;5,73E+07;2,21E+06;2,22E+07;2,65E+08
22802;3,98E+08;1,55E+08;2,47E+09;2,21E+06;2,22E+07;2,04E+07
105378828;2,58E+08;3,40E+08;1,72E+08;2,21E+06;7,76E+08;9,58E+08
23155;1,34E+09;7,11E+08;1,33E+09;1,08E+09;2,13E+08;1,75E+09
23529;4,24E+09;5,87E+08;1,85E+08;5,98E+08;2,44E+08;4,26E+09
1180;7,73E+07;1,51E+09;1,72E+08;1,11E+07;1,89E+09;2,63E+08
1181;1,48E+09;5,26E+08;1,55E+09;2,88E+08;8,21E+08;6,12E+07
1182;8,60E+09;9,61E+09;3,84E+09;2,99E+09;2,12E+09;2,78E+09
1183;1,09E+09;1,07E+09;1,91E+07;1,31E+09;2,15E+09;8,14E+09
1184;1,85E+09;3,40E+08;1,72E+08;5,53E+08;1,49E+09;2,59E+09
1185;2,11E+07;5,26E+08;1,89E+09;6,64E+07;6,43E+08;1,57E+08
1186;2,18E+09;4,61E+09;1,32E+09;3,34E+09;6,43E+08;2,40E+09
1187;5,39E+08;2,78E+08;5,73E+07;2,21E+06;2,44E+08;2,65E+08
1188;2,34E+07;1,27E+09;1,74E+09;1,99E+08;2,22E+07;7,32E+09
9076;1,24E+09;1,55E+08;6,69E+08;2,21E+06;6,65E+07;2,04E+07
9071;7,27E+08;1,39E+09;4,30E+09;2,21E+06;9,54E+07;4,14E+09
100874194;7,03E+05;1,55E+08;1,91E+07;3,32E+07;1,11E+07;3,47E+08
5010;3,61E+09;4,64E+08;2,18E+09;7,55E+09;2,00E+08;6,73E+08
9069;6,21E+09;5,47E+09;1,05E+08;1,31E+09;5,88E+09;5,16E+09
23562;6,33E+07;2,16E+08;1,91E+07;6,64E+07;7,76E+08;1,43E+08
24146;2,41E+09;1,39E+09;3,25E+08;2,21E+06;9,09E+08;2,47E+09
10686;2,34E+07;3,09E+07;1,05E+08;3,32E+07;6,65E+07;7,54E+07
26285;3,98E+08;1,55E+08;1,91E+07;4,21E+08;2,00E+08;3,06E+08
51208;2,58E+08;7,11E+08;1,91E+07;9,52E+08;2,22E+07;5,08E+08
149461;2,13E+09;9,27E+07;2,35E+09;2,44E+08;1,40E+08;3,08E+09
9075;8,20E+08;1,55E+08;5,73E+07;2,44E+08;6,65E+07;6,12E+07
49861;2,51E+09;7,73E+08;2,20E+09;7,31E+08;9,09E+08;1,02E+08
137075;8,20E+08;7,73E+08;5,54E+08;2,44E+08;2,22E+07;2,65E+08
1365;3,45E+09;9,58E+08;1,91E+07;2,44E+08;4,66E+08;2,22E+09
1364;9,61E+08;9,27E+07;4,40E+08;2,44E+08;9,09E+08;5,51E+08
7122;5,98E+08;2,75E+09;1,34E+08;1,31E+09;1,49E+09;4,38E+08
9074;1,52E+09;1,08E+09;5,73E+07;5,53E+08;2,22E+07;5,81E+09
1366;1,20E+09;3,40E+08;1,34E+08;2,21E+06;1,11E+07;1,02E+08
9073;3,98E+08;3,09E+07;1,72E+08;2,21E+06;1,55E+08;2,04E+07
9080;2,51E+09;8,96E+08;4,01E+08;2,21E+06;2,22E+07;2,04E+07
56650;4,50E+09;2,02E+09;6,12E+09;8,10E+08;4,66E+08;2,04E+07
125875;3,40E+09;8,35E+08;5,73E+07;3,32E+07;1,11E+07;1,02E+08
10462;1,20E+09;3,40E+08;1,91E+07;1,55E+08;9,54E+07;2,24E+08
6320;2,32E+09;3,09E+07;1,78E+09;1,08E+08;3,77E+08;9,32E+09
160364;1,34E+09;9,27E+07;4,40E+08;2,21E+06;5,10E+08;2,24E+08
387837;7,03E+05;1,55E+08;1,72E+08;2,21E+06;2,00E+08;8,77E+06
161198;4,34E+09;3,09E+07;9,36E+08;5,98E+08;2,22E+07;2,04E+07
23274;1,34E+09;1,55E+08;5,16E+08;2,44E+08;2,22E+07;2,02E+09
283971;1,64E+08;9,27E+07;1,91E+07;4,21E+08;2,00E+08;5,10E+08
51267;9,14E+07;3,09E+07;1,91E+07;1,11E+07;2,22E+07;2,65E+08
51266;4,45E+08;9,27E+07;1,91E+07;6,64E+07;6,65E+07;3,06E+08
9976;3,98E+08;2,81E+09;3,63E+08;3,32E+07;6,88E+08;2,04E+07
29121;4,45E+08;5,87E+08;5,73E+07;2,21E+06;6,43E+08;2,18E+09
154790;2,34E+07;1,82E+09;1,47E+09;2,44E+08;8,65E+08;1,40E+09
10143;2,11E+07;9,27E+07;2,87E+08;1,99E+08;6,65E+07;2,04E+07
7123;2,04E+09;2,78E+08;5,73E+07;1,55E+08;2,22E+07;2,04E+07
50856;2,46E+08;5,87E+08;3,25E+08;3,32E+07;6,65E+07;5,51E+08
170482;4,92E+07;2,78E+08;2,48E+08;6,64E+07;5,10E+08;2,04E+07
338339;1,01E+09;4,64E+08;3,63E+08;1,11E+07;6,65E+07;1,12E+09
26253;1,17E+08;2,78E+08;1,72E+08;6,64E+07;2,00E+08;1,28E+09
165530;8,67E+08;9,27E+07;7,84E+08;2,21E+06;6,65E+07;1,43E+08
339390;3,05E+08;8,96E+08;2,10E+07;2,21E+06;3,33E+08;1,61E+09
440508;2,34E+07;5,26E+08;3,25E+08;1,11E+07;2,22E+07;5,51E+08
10332;2,34E+07;2,16E+08;5,73E+07;2,21E+06;1,55E+08;1,53E+09
23601;1,64E+08;2,78E+08;1,72E+08;2,44E+08;2,44E+08;2,65E+08
64581;3,52E+06;3,09E+07;2,73E+09;7,64E+09;1,25E+09;2,60E+09
160365;3,16E+08;3,49E+09;2,10E+07;1,70E+09;2,22E+07;4,47E+09
1047;1,64E+08;9,27E+07;1,91E+07;6,64E+07;2,22E+07;4,28E+08
130162;2,34E+07;9,27E+07;2,10E+07;1,11E+07;2,44E+08;1,02E+08
1192;1,90E+09;5,87E+08;2,08E+09;2,88E+08;5,92E+09;2,24E+08
1193;2,34E+07;7,73E+08;1,91E+07;2,21E+06;3,77E+08;4,69E+08
9022;5,86E+08;9,27E+07;1,91E+07;2,21E+06;2,22E+07;4,69E+08
25932;2,18E+09;1,55E+09;2,02E+09;1,99E+09;8,05E+09;5,12E+09
53405;1,48E+09;1,89E+08;3,25E+08;6,86E+08;1,93E+09;2,96E+09
54102;2,34E+07;7,73E+08;8,22E+08;9,96E+08;6,65E+07;6,12E+07
9685;8,18E+09;2,81E+09;9,36E+08;7,77E+09;5,92E+09;6,06E+09
6249;1,15E+08;8,19E+09;1,05E+09;1,14E+09;1,12E+09;4,69E+08
100507066;1,38E+09;9,27E+07;1,91E+07;1,11E+07;6,65E+07;1,37E+09
7461;3,35E+09;1,39E+09;2,54E+09;1,55E+08;4,24E+09;1,84E+08
25999;6,91E+09;3,43E+09;3,63E+08;6,26E+09;2,02E+09;8,62E+09
79745;1,48E+09;7,94E+09;1,09E+09;2,35E+09;4,21E+07;1,32E+08
1195;6,33E+07;4,85E+09;2,10E+07;1,44E+09;3,77E+08;1,90E+09
1196;1,29E+09;9,27E+07;2,87E+08;6,64E+07;8,65E+08;2,65E+08
1198;3,16E+08;2,19E+09;2,01E+09;6,64E+07;2,44E+08;6,91E+09
57396;2,74E+09;1,20E+09;1,08E+09;1,22E+09;1,48E+09;2,20E+09
101927096;2,11E+07;3,09E+07;5,73E+07;6,64E+07;3,33E+08;3,47E+08
79789;1,98E+09;7,73E+08;8,16E+08;1,55E+08;2,83E+09;3,26E+09
79827;2,34E+07;3,09E+07;1,40E+09;4,21E+08;4,21E+07;1,20E+09
1201;3,45E+09;1,33E+09;8,98E+08;1,17E+09;1,89E+09;2,59E+09
1203;1,10E+09;5,26E+08;9,56E+07;3,34E+09;7,32E+08;7,95E+08
54982;8,18E+09;6,65E+09;8,60E+08;7,31E+08;2,28E+09;7,61E+09
2055;9,63E+09;7,14E+09;7,45E+08;1,93E+09;1,22E+09;7,20E+08
101927752;7,03E+05;9,27E+07;1,01E+09;5,98E+08;1,40E+08;3,32E+08
116449;2,34E+07;1,55E+08;5,73E+07;6,86E+08;2,22E+07;1,61E+09
1207;1,20E+09;1,51E+09;4,40E+08;4,45E+09;2,51E+09;6,12E+07
9575;2,34E+07;9,58E+08;1,80E+09;1,74E+09;1,50E+09;1,38E+09
10978;3,68E+09;2,16E+08;1,13E+09;6,64E+07;1,11E+07;4,69E+08
81570;1,52E+09;1,95E+09;2,81E+09;7,31E+08;8,65E+08;1,69E+09
8192;1,38E+09;1,08E+09;9,56E+07;6,64E+07;5,54E+08;2,71E+09
1208;2,84E+09;1,70E+09;1,91E+07;5,53E+08;5,10E+08;6,12E+07
1209;6,54E+09;9,27E+07;2,54E+09;6,64E+07;7,32E+08;1,81E+09
81037;1,02E+09;2,10E+09;7,97E+09;2,63E+09;7,74E+09;1,04E+09
10845;3,49E+09;2,78E+08;1,51E+09;9,54E+09;4,15E+09;2,24E+08
7401;2,34E+07;1,55E+08;7,45E+08;7,75E+08;1,55E+08;1,61E+09
116933;8,67E+08;3,09E+07;5,73E+07;2,21E+06;2,22E+07;1,43E+08
119467;1,90E+09;3,09E+07;4,40E+08;6,64E+07;9,98E+08;1,16E+09
63967;7,27E+08;4,64E+08;9,36E+08;1,99E+08;1,11E+07;3,00E+09
22883;1,05E+08;9,49E+09;1,10E+09;1,11E+07;4,90E+09;7,48E+09
64084;7,06E+09;2,73E+09;1,92E+09;0.00100482288419366;9,04E+09;1,43E+08
101927808;2,34E+07;2,78E+08;2,48E+08;1,11E+07;2,22E+07;3,87E+08
9746;8,32E+09;2,57E+09;5,73E+07;3,76E+08;2,00E+08;5,51E+08
1211;2,63E+09;9,04E+09;9,12E+09;5,02E+09;0.00103946692002425;2,57E+09
1212;5,37E+09;1,46E+09;8,24E+09;2,88E+08;1,67E+09;2,54E+09
1213;1,40E+09;9,27E+07;1,24E+09;4,58E+09;2,20E+09;2,65E+08
8218;1,71E+09;3,09E+07;1,24E+09;6,64E+07;1,55E+08;2,63E+08
57393;2,34E+07;3,09E+07;1,34E+08;6,64E+07;3,33E+08;1,43E+08
1191;5,84E+09;0.00101921074693897;7,47E+09;1,51E+09;0.00038034686747206997;8,58E+08
23059;1,11E+09;9,27E+07;5,18E+09;5,51E+08;1,75E+09;4,42E+09
23277;3,35E+09;3,74E+09;2,08E+09;2,77E+07;2,15E+09;1,49E+09
100132341;1,42E+08;2,50E+09;7,05E+09;4,27E+09;1,80E+09;4,51E+09
27098;1,64E+08;4,64E+08;4,01E+08;1,11E+07;1,11E+07;1,16E+09
157807;9,14E+07;1,33E+09;9,36E+08;8,63E+08;6,65E+07;1,73E+09
134829;2,98E+09;3,09E+07;4,78E+08;2,21E+06;2,44E+08;2,24E+08
79645;3,05E+08;3,09E+07;1,47E+09;2,21E+06;3,33E+08;3,20E+09
171425;2,88E+09;2,57E+09;3,19E+09;1,55E+08;2,59E+09;2,26E+09
101927465;7,03E+05;2,78E+08;1,91E+07;2,21E+06;5,10E+08;2,04E+07
100874063;5,86E+08;2,16E+08;5,73E+07;1,99E+08;2,22E+07;1,43E+08
1215;5,86E+08;2,78E+08;1,91E+07;2,88E+08;6,65E+07;2,65E+08
8418;3,05E+08;4,64E+08;2,10E+07;6,64E+07;1,49E+09;1,77E+09
55907;1,61E+09;5,16E+09;1,02E+09;1,20E+09;1,63E+09;6,32E+07
134147;3,12E+08;7,26E+09;6,56E+09;5,60E+09;5,83E+09;2,24E+09
152100;3,98E+08;1,55E+08;5,73E+07;1,55E+08;2,22E+07;2,04E+07
56942;2,34E+07;5,87E+08;2,01E+09;2,88E+08;3,26E+09;9,58E+08
100272147;1,64E+08;1,39E+09;2,16E+09;3,08E+09;5,12E+09;2,24E+08
80790;5,68E+09;3,15E+09;2,55E+09;2,44E+09;1,93E+09;5,51E+08
1240;2,70E+09;3,18E+07;5,54E+08;2,28E+09;2,44E+08;6,34E+09
2825;1,17E+08;2,16E+08;4,01E+08;2,21E+06;2,22E+07;2,04E+07
101669764;2,34E+07;2,16E+08;5,73E+07;1,11E+07;1,11E+07;6,32E+07
51727;1,62E+09;3,25E+09;3,31E+09;2,32E+09;8,27E+09;3,36E+09
129607;1,17E+08;1,55E+08;4,01E+08;1,22E+09;2,05E+09;2,24E+08
84319;1,29E+09;9,27E+07;1,72E+08;1,75E+09;6,65E+07;9,58E+08
113540;1,80E+09;4,64E+08;2,12E+09;2,21E+06;2,44E+08;4,28E+08
146225;6,80E+08;9,27E+07;1,91E+07;6,64E+07;6,65E+07;2,04E+07
123920;6,80E+08;5,26E+08;1,16E+08;6,64E+07;6,43E+08;9,07E+09
146223;8,37E+09;1,93E+09;2,69E+09;9,28E+09;1,63E+09;2,22E+09
116173;1,38E+09;9,27E+07;1,32E+08;5,53E+08;2,22E+07;6,73E+08
54918;6,33E+07;2,16E+08;1,20E+09;1,22E+09;2,77E+09;1,94E+08
112616;3,52E+06;1,45E+09;5,54E+08;6,64E+07;9,54E+07;1,65E+09
152189;7,03E+05;3,09E+07;1,91E+07;2,21E+06;6,88E+08;4,69E+08
23070;3,02E+09;3,09E+07;1,85E+08;2,21E+06;2,82E+08;5,51E+08
55783;2,34E+07;3,09E+07;2,48E+08;1,99E+08;6,65E+07;4,69E+08
202333;3,05E+08;8,96E+08;4,78E+08;5,09E+08;2,22E+07;9,99E+07
168975;9,14E+07;1,55E+08;1,34E+08;6,64E+07;2,22E+07;2,04E+07
140894;2,98E+09;6,49E+08;7,07E+08;7,31E+08;5,10E+08;6,32E+07
7555;3,87E+08;1,31E+09;2,68E+08;0.00205724147671552;1,09E+09;9,32E+09
84735;5,86E+08;2,16E+08;4,84E+09;6,18E+09;2,28E+09;8,30E+09
55748;6,16E+09;2,81E+09;1,63E+09;1,11E+07;6,94E+09;1,45E+09
255919;1,17E+08;8,96E+08;1,91E+07;3,79E+09;3,04E+09;3,77E+09
84518;1,64E+08;3,09E+07;2,87E+08;2,21E+06;1,49E+09;1,65E+09
1259;3,52E+06;3,09E+07;5,73E+07;4,21E+08;2,22E+07;1,02E+08
1261;5,86E+08;3,09E+07;2,87E+08;6,64E+07;6,65E+07;2,04E+07
1262;1,90E+09;3,09E+07;8,60E+08;1,99E+08;5,99E+08;1,43E+08
1258;8,46E+09;3,62E+09;3,08E+09;2,21E+06;4,32E+09;4,75E+09
54714;7,03E+05;3,09E+07;1,72E+08;4,21E+08;2,22E+07;6,32E+07
10175;4,92E+07;7,73E+08;5,73E+07;1,39E+09;6,65E+07;2,34E+09
254263;1,62E+09;9,58E+08;8,60E+08;6,64E+07;2,82E+08;1,41E+08
149111;3,73E+09;2,81E+09;4,78E+08;2,94E+09;1,49E+09;4,71E+09
29097;5,41E+09;6,52E+09;3,42E+08;3,21E+09;1,94E+09;3,65E+09
10256;9,14E+07;9,27E+07;3,63E+08;2,44E+08;2,22E+07;2,04E+07
22866;9,61E+08;8,81E+09;2,48E+08;8,08E+09;2,29E+09;2,04E+07
154043;3,05E+08;6,49E+08;1,47E+09;3,32E+07;2,73E+09;3,32E+08
11061;1,17E+08;4,02E+08;9,56E+07;5,53E+08;1,55E+08;4,28E+08
1264;2,55E+09;3,09E+07;2,87E+08;6,64E+07;1,11E+07;2,65E+08
1265;1,38E+09;4,79E+09;2,43E+09;9,52E+08;2,59E+09;2,34E+09
1266;4,45E+08;9,92E+09;4,21E+09;1,75E+09;8,49E+09;1,39E+09
729970;7,03E+05;2,78E+08;2,39E+09;6,64E+07;2,22E+07;1,28E+09
26507;2,58E+08;3,09E+07;5,73E+07;2,88E+08;1,31E+09;4,69E+08
54805;3,52E+06;5,53E+08;9,56E+07;2,19E+08;1,49E+09;7,69E+09
26505;1,64E+08;3,09E+07;1,09E+09;9,96E+08;1,80E+09;1,53E+09
26504;5,39E+08;8,35E+08;1,34E+08;5,09E+08;9,54E+07;1,98E+09
23019;5,46E+09;7,73E+08;1,20E+09;1,49E+08;9,98E+08;1,42E+09
25904;1,64E+08;5,87E+08;8,98E+08;5,53E+08;2,44E+08;2,24E+08
55571;3,05E+08;1,27E+09;1,09E+09;9,96E+08;3,22E+09;8,46E+09
4848;3,77E+09;1,04E+09;1,34E+09;3,65E+09;1,30E+09;1,43E+08
4849;7,66E+09;6,21E+09;3,25E+08;7,02E+09;2,99E+09;5,85E+09
4850;2,84E+09;2,01E+09;2,13E+09;9,05E+09;1,87E+09;5,51E+08
57472;2,34E+07;1,58E+09;1,29E+08;6,26E+09;1,79E+08;1,37E+09
246175;1,01E+09;1,05E+09;1,91E+07;9,45E+09;2,22E+07;5,44E+08
29883;2,11E+07;1,68E+09;1,76E+09;1,12E+09;3,58E+09;3,16E+08
9337;5,79E+09;6,96E+09;3,12E+09;1,70E+08;1,27E+09;8,77E+06
9125;5,98E+08;3,93E+09;1,51E+09;4,01E+09;1,55E+08;4,51E+09
1267;9,35E+09;1,33E+09;1,58E+09;1,43E+09;3,93E+08;1,43E+08
27013;1,01E+09;4,98E+09;1,07E+09;1,70E+09;4,32E+09;9,11E+08
285888;3,98E+08;9,27E+07;1,91E+07;6,64E+07;1,55E+08;1,84E+08
10330;2,34E+07;2,16E+08;1,89E+09;9,14E+09;7,07E+09;9,40E+09
10695;1,76E+08;3,43E+09;1,03E+09;9,96E+08;2,51E+09;2,65E+08
245812;6,07E+09;1,33E+09;2,96E+09;6,42E+08;6,65E+07;2,04E+07
1268;6,26E+09;1,58E+09;1,09E+09;5,34E+09;1,20E+09;5,91E+08
1269;7,73E+07;3,09E+07;4,78E+08;6,64E+07;2,22E+07;1,02E+08
25927;5,18E+09;8,25E+09;4,01E+08;1,86E+09;4,86E+09;7,52E+09
163882;3,52E+06;6,65E+09;1,01E+09;1,55E+08;1,37E+08;2,63E+08
124817;3,98E+08;1,55E+08;2,48E+08;1,99E+08;2,22E+07;1,43E+08
1270;3,52E+06;7,73E+08;1,91E+07;2,21E+06;1,11E+07;3,06E+08
1271;4,29E+09;2,44E+09;9,56E+07;4,21E+08;1,55E+08;2,92E+09
415056;3,45E+09;2,63E+09;1,51E+09;6,64E+07;1,22E+09;1,33E+09
54875;1,48E+09;4,02E+08;1,01E+09;6,64E+07;2,00E+08;2,10E+08
1272;3,91E+09;3,37E+09;4,07E+09;5,33E+09;3,52E+08;1,52E+09
6900;7,03E+05;2,13E+09;8,16E+08;4,80E+09;2,68E+09;4,59E+09
5067;1,17E+08;3,09E+07;4,01E+08;2,88E+08;6,65E+07;3,87E+08
152330;6,80E+08;3,09E+07;1,93E+09;3,32E+07;1,55E+08;2,04E+07
53942;8,20E+08;2,78E+08;1,91E+07;2,50E+09;3,33E+08;6,32E+07
27255;7,03E+05;4,02E+08;3,63E+08;2,21E+06;4,21E+07;1,04E+09
8506;3,82E+08;1,51E+09;2,54E+09;2,21E+06;4,21E+07;2,30E+09
26047;3,79E+09;3,82E+09;1,82E+09;8,27E+07;4,12E+09;9,93E+09
101928700;3,98E+08;3,09E+07;4,40E+08;6,64E+07;2,00E+08;3,87E+08
79937;1,95E+09;9,27E+07;2,16E+09;3,70E+09;1,11E+07;2,04E+07
643827;3,52E+06;1,55E+08;8,60E+08;5,09E+08;2,22E+07;2,04E+07
85445;1,43E+07;8,35E+08;1,67E+09;4,98E+08;6,65E+07;2,04E+07
129684;4,24E+09;2,57E+09;5,73E+07;4,89E+09;6,45E+08;5,04E+09
11064;2,58E+08;6,49E+08;1,62E+09;7,75E+08;1,80E+09;2,04E+07
116840;5,70E+09;6,89E+09;7,45E+08;4,21E+08;4,32E+09;1,72E+09
55744;4,34E+09;1,51E+09;2,85E+09;1,66E+08;2,22E+07;4,28E+08
28958;6,59E+09;8,96E+08;3,92E+09;2,21E+06;1,27E+08;6,12E+07
51287;4,62E+09;5,26E+08;4,26E+09;3,65E+09;6,88E+08;4,42E+09
493753;1,76E+08;3,62E+09;1,72E+08;1,14E+09;2,00E+08;3,69E+08
388753;3,98E+08;2,81E+09;1,55E+09;1,55E+08;1,40E+08;2,87E+09
65260;2,23E+09;4,02E+08;1,05E+08;4,65E+08;3,04E+09;1,53E+09
84334;6,82E+09;3,07E+09;3,44E+09;1,02E+09;1,22E+09;7,58E+09
80347;6,82E+09;4,02E+08;3,00E+09;9,52E+08;1,62E+09;4,55E+09
23242;9,30E+09;6,71E+08;3,96E+08;3,56E+09;2,22E+07;5,53E+09
22837;5,13E+09;2,63E+09;4,34E+09;2,81E+09;1,71E+09;1,43E+08
1690;3,80E+09;4,54E+09;3,26E+09;2,21E+06;9,41E+09;8,42E+08
9382;2,34E+07;4,42E+09;4,26E+09;2,19E+08;2,88E+08;2,22E+09
22796;7,73E+07;1,27E+09;6,69E+08;2,21E+06;7,32E+08;7,14E+08
83548;1,71E+09;7,73E+08;1,05E+08;9,08E+08;4,66E+08;1,45E+09
25839;3,52E+06;9,27E+07;1,55E+09;2,21E+06;3,33E+08;1,16E+09
10466;7,20E+09;2,81E+09;5,73E+07;3,74E+09;2,24E+08;2,34E+09
57511;2,58E+08;9,27E+07;1,91E+07;4,49E+09;2,44E+08;6,14E+08
91949;7,27E+08;3,09E+07;5,92E+08;6,86E+08;4,21E+07;4,26E+09
84342;1,62E+09;2,13E+09;2,12E+09;1,53E+09;4,81E+09;8,38E+09
8161;1,17E+08;8,96E+08;1,72E+08;2,37E+09;2,00E+08;1,41E+08
1300;9,14E+07;1,55E+08;1,66E+09;3,32E+07;1,11E+07;1,02E+08
1301;9,61E+08;3,09E+07;1,72E+08;4,65E+08;4,21E+07;2,65E+08
1302;9,82E+09;1,55E+08;4,40E+08;9,08E+08;1,55E+08;7,48E+09
1303;4,52E+08;1,51E+09;1,70E+09;2,88E+08;2,73E+09;4,02E+09
1305;5,32E+09;6,49E+08;1,82E+09;2,88E+08;4,21E+07;2,02E+09
7373;2,34E+07;4,02E+08;6,31E+07;1,55E+08;4,66E+08;1,69E+09
1306;2,34E+07;2,78E+08;5,73E+07;2,21E+06;1,11E+07;2,24E+08
1307;3,68E+09;4,64E+08;9,36E+08;2,21E+06;2,24E+08;6,83E+08
1308;6,80E+08;9,27E+07;1,85E+08;8,19E+08;3,33E+08;6,12E+07
80781;1,01E+09;1,89E+08;2,31E+09;2,44E+08;3,30E+09;2,71E+09
378832;1,24E+09;1,08E+09;9,56E+07;5,98E+08;1,55E+08;5,91E+08
1310;7,03E+05;4,02E+08;1,91E+07;2,88E+08;2,44E+08;7,54E+07
1277;3,01E+09;1,28E+09;1,53E+09;4,14E+09;1,55E+08;1,84E+08
1278;7,27E+08;5,26E+08;3,00E+09;1,99E+08;4,66E+08;3,47E+08
57642;6,91E+09;1,33E+09;4,40E+08;2,21E+06;1,71E+09;7,14E+08
81578;1,34E+09;4,64E+08;2,39E+09;2,68E+09;5,54E+08;6,12E+07
169044;8,67E+08;5,87E+08;2,10E+07;6,64E+07;1,09E+09;3,06E+08
91522;3,52E+06;3,09E+07;9,56E+07;2,21E+06;4,66E+08;4,28E+08
255631;2,34E+07;2,16E+08;3,25E+08;5,53E+08;2,22E+07;6,12E+07
84570;8,79E+08;2,16E+08;1,91E+07;7,24E+09;5,39E+09;2,55E+09
136227;1,06E+09;4,92E+09;3,00E+09;4,21E+08;1,04E+09;1,49E+09
85301;4,62E+09;2,16E+08;2,20E+09;2,88E+08;3,77E+08;5,08E+08
340267;4,92E+07;5,87E+08;4,01E+08;4,65E+08;4,21E+07;9,99E+07
1280;4,92E+07;5,87E+08;1,47E+09;3,76E+08;9,54E+07;1,65E+09
1281;2,93E+09;3,40E+08;8,60E+08;1,55E+08;1,22E+09;6,12E+07
1282;2,34E+07;8,35E+08;4,78E+08;1,26E+09;2,22E+07;2,92E+09
1284;1,24E+09;1,55E+08;5,16E+08;1,11E+07;1,55E+08;1,81E+09
1285;2,88E+09;1,64E+09;1,20E+09;2,88E+08;1,44E+09;1,29E+09
1286;5,39E+08;1,21E+09;2,10E+07;2,44E+08;1,22E+09;4,28E+08
1287;3,05E+08;5,26E+08;4,01E+08;6,86E+08;6,65E+07;2,10E+08
1288;1,64E+08;4,64E+08;1,72E+08;6,64E+07;4,66E+08;1,73E+09
