ENTREZID;CDSeq_estimated_cell_type_1;CDSeq_estimated_cell_type_2;CDSeq_estimated_cell_type_3;CDSeq_estimated_cell_type_4;CDSeq_estimated_cell_type_5;CDSeq_estimated_cell_type_6
225;2,58E+08;4,64E+08;9,56E+07;2,44E+08;5,54E+08;3,06E+08
5825;7,03E+05;1,76E+08;1,34E+09;3,83E+08;1,48E+09;2,04E+07
5826;7,03E+05;2,50E+09;1,34E+08;4,65E+08;1,55E+08;9,99E+07
6059;1,76E+08;9,27E+07;1,47E+09;7,11E+09;1,53E+09;1,02E+08
23;2,11E+07;5,26E+08;3,73E+09;3,76E+08;3,97E+09;4,69E+08
10061;2,79E+09;6,49E+08;1,91E+07;1,70E+09;9,09E+08;1,65E+09
114483834;2,18E+09;8,62E+09;7,09E+09;7,31E+08;4,59E+09;4,30E+09
55324;2,41E+09;1,02E+09;7,07E+08;1,11E+07;4,21E+07;5,12E+09
9619;8,37E+09;8,25E+09;9,56E+07;1,70E+09;1,39E+09;4,69E+08
9429;6,80E+08;1,76E+08;2,54E+09;3,32E+07;1,55E+08;2,04E+07
64137;4,92E+07;3,40E+08;2,10E+07;1,11E+07;6,65E+07;2,43E+09
64240;1,64E+08;1,55E+08;9,56E+07;6,64E+07;3,33E+08;2,04E+07
64241;7,27E+08;2,78E+08;1,91E+07;2,21E+06;4,21E+07;2,04E+07
84696;2,11E+07;3,09E+07;1,34E+08;1,55E+08;1,62E+09;1,43E+08
55347;4,52E+08;5,26E+08;1,91E+07;9,10E+09;8,65E+08;2,06E+09
83451;5,84E+09;3,09E+07;2,27E+09;2,06E+09;2,33E+09;7,48E+09
26090;5,41E+09;7,11E+08;5,26E+07;2,88E+08;4,90E+09;2,65E+08
145447;4,92E+07;2,78E+08;1,72E+08;2,21E+06;4,66E+08;3,47E+08
84945;1,20E+09;1,21E+09;9,56E+07;5,09E+08;1,11E+07;2,04E+07
25864;1,43E+09;1,02E+09;4,40E+08;6,64E+07;2,95E+09;1,53E+09
84836;2,34E+07;3,09E+07;1,91E+07;1,99E+08;1,11E+07;1,41E+08
116236;1,17E+08;2,16E+08;1,91E+07;4,65E+08;3,33E+08;3,47E+08
7920;4,15E+09;6,15E+09;2,87E+08;2,81E+09;1,31E+09;2,79E+09
140701;2,88E+09;9,58E+08;1,24E+09;2,21E+06;6,65E+07;1,02E+08
81926;3,05E+08;3,09E+07;2,48E+08;2,21E+06;2,44E+08;1,41E+08
51104;6,21E+09;4,30E+09;6,40E+09;6,00E+09;2,22E+07;5,04E+09
58489;2,11E+07;1,55E+08;2,01E+09;9,08E+08;3,77E+08;1,84E+08
80167;1,14E+09;4,02E+08;2,12E+09;4,67E+09;9,12E+09;1,12E+09
11057;1,44E+09;1,68E+09;2,20E+09;2,89E+09;1,44E+09;3,07E+09
171586;1,80E+09;7,73E+08;1,91E+07;2,21E+06;1,13E+08;1,84E+08
63874;2,65E+09;9,27E+07;4,01E+08;4,65E+08;4,21E+07;2,65E+08
51099;4,01E+09;4,11E+09;3,99E+09;9,96E+08;2,22E+07;2,92E+09
57406;5,32E+09;7,82E+09;1,91E+07;1,16E+09;1,75E+09;6,34E+09
79575;2,34E+07;1,14E+09;5,54E+08;5,53E+08;5,54E+08;7,14E+08
10006;3,71E+09;7,82E+09;3,34E+09;2,56E+09;1,52E+09;2,18E+09
10152;1,43E+09;5,28E+09;3,68E+09;9,46E+09;4,71E+09;2,68E+09
51225;5,93E+07;1,76E+08;5,92E+08;3,32E+07;5,99E+08;1,49E+09
25890;1,64E+08;5,26E+08;7,07E+08;1,99E+08;2,22E+07;1,41E+08
54942;3,02E+09;2,16E+08;9,56E+07;2,94E+09;1,11E+07;9,99E+07
25;6,12E+09;3,12E+09;2,08E+09;1,70E+09;6,65E+07;2,04E+07
27;9,26E+09;1,21E+09;3,23E+09;6,71E+09;1,21E+09;3,24E+09
3983;5,37E+09;1,18E+07;3,55E+09;1,18E+09;1,11E+07;2,10E+08
84448;2,55E+09;8,87E+09;7,28E+09;5,16E+09;5,79E+09;6,95E+09
22885;4,38E+09;5,04E+09;4,01E+08;8,12E+09;5,10E+08;2,04E+07
28;7,17E+09;2,21E+09;1,71E+09;4,21E+08;1,11E+07;7,17E+09
29;1,65E+09;9,49E+09;8,24E+09;3,61E+09;2,02E+09;7,48E+09
137735;1,62E+09;2,16E+08;2,48E+08;6,86E+08;6,65E+07;1,02E+08
58527;9,14E+07;3,09E+07;1,91E+07;7,31E+08;6,88E+08;2,04E+07
84142;1,76E+08;7,73E+08;1,91E+07;7,02E+09;2,11E+09;8,01E+09
23172;1,90E+09;3,09E+07;1,28E+09;2,06E+09;1,11E+07;6,32E+07
29777;9,14E+07;3,09E+07;1,91E+07;7,75E+08;6,65E+07;4,28E+08
80325;8,93E+09;4,42E+09;6,69E+08;2,21E+06;4,06E+09;8,95E+08
25841;2,55E+09;3,49E+09;2,54E+09;1,99E+08;3,57E+09;6,32E+07
121551;7,03E+05;1,39E+09;5,73E+07;2,44E+08;2,88E+08;1,37E+09
30;2,37E+09;2,57E+09;2,81E+09;5,91E+09;3,22E+09;4,51E+09
10449;1,39E+09;1,95E+09;6,98E+09;6,64E+07;6,36E+09;6,12E+07
31;9,82E+09;3,09E+07;4,68E+09;2,41E+09;5,97E+09;1,24E+09
32;0.00141117275698297;3,09E+07;9,16E+08;1,62E+09;0.00194786386997504;6,12E+07
