...1,CDSeq_estimated_cell_type_1,CDSeq_estimated_cell_type_2,CDSeq_estimated_cell_type_3,CDSeq_estimated_cell_type_4,CDSeq_estimated_cell_type_5,CDSeq_estimated_cell_type_6,SYMBOL,ENTREZID
ABCA2,1.1158249776737e-4,3.59659580643184e-6,1.48090386603307e-5,8.56319382056135e-5,6.62124784919799e-7,2.22886006467617e-5,ABCA2,20
ABCA3,6.31193463727872e-5,7.66231280500696e-6,1.91789189207561e-5,5.41839807504503e-5,5.84876893345822e-5,1.78308805174094e-7,ABCA3,21
ABCA4,1.75874339738416e-6,7.81868653572139e-7,1.1410242902222e-5,8.28696176183357e-6,5.95912306427819e-6,2.31801446726322e-6,ABCA4,24
ABCA5,8.01205325475007e-6,4.36282708693254e-5,3.71439822136163e-5,2.12486199021374e-7,2.42779087803926e-6,4.40422748780011e-5,ABCA5,23461
ABCA6,2.5404071295549e-6,1.56373730714428e-7,2.42771125579191e-7,1.2536685742261e-5,2.20708261639933e-7,1.78308805174094e-7,ABCA6,23460
ABCA7,2.59903190946771e-5,9.5387975735801e-6,3.86006089670914e-5,5.31215497553434e-6,2.42779087803926e-6,3.33437465675555e-5,ABCA7,10347
ABCA8,7.6212213886647e-6,1.89212214164458e-5,1.3668014370108e-4,9.24314965742975e-5,3.310623924599e-6,5.5275729603969e-6,ABCA8,10351
ABCA9,6.83955765649396e-6,8.28780772786467e-6,2.64620526881318e-5,1.63614373246458e-5,5.95912306427819e-6,1.9079042153628e-5,ABCA9,10350
ABCB1,4.49456645998175e-6,1.36045145721552e-5,1.28668696556971e-5,1.55114925285603e-5,2.53814500885923e-5,2.33584534778063e-5,ABCB1,5243
ABCB10,3.71290272781101e-6,1.56373730714428e-7,3.15602463252949e-6,6.37458597064121e-7,1.54495783147953e-6,1.78308805174094e-7,ABCB10,23456
ABCB11,9.77079665213423e-7,4.69121192143283e-7,5.5837358883214e-6,2.12486199021374e-7,1.08147048203567e-5,4.10110251900415e-6,ABCB11,8647
ABCB4,1.27020356477745e-5,4.69121192143283e-7,4.61265138600463e-6,6.37458597064121e-7,2.42779087803926e-6,1.60477924656684e-6,ABCB4,5244
ABCB5,1.36791153129879e-6,1.56373730714428e-7,2.42771125579191e-7,2.18860784992015e-5,1.92016187626742e-5,1.60477924656684e-6,ABCB5,340273
ABCB6,7.71892935518605e-5,4.69121192143283e-7,5.09819363716302e-6,7.62825454486731e-5,5.07629001771846e-6,1.19466899466643e-5,ABCB6,10058
ABCB7,3.69336113450674e-5,9.5387975735801e-6,2.42771125579191e-7,1.50865201305175e-5,2.20708261639933e-7,5.34926415522281e-7,ABCB7,22
ABCB8,5.27623019215249e-6,1.40736357642985e-6,2.84042216927654e-5,6.18334839152197e-5,2.86920740131913e-6,4.45772012935234e-6,ABCB8,11194
ABCB9,1.0142086924915e-4,1.20407772650109e-5,7.16174820458614e-5,6.37458597064121e-7,9.49045525051712e-6,8.91544025870468e-7,ABCB9,23457
ABCC1,1.38745312460306e-5,7.92814814722149e-5,1.38379541580139e-5,5.50339255465358e-5,6.95231024165789e-5,5.17095535004871e-6,ABCC1,4363
ABCC10,7.6212213886647e-6,1.56373730714428e-7,3.1803017450874e-5,3.7503814127272e-4,2.20708261639933e-7,5.34926415522281e-7,ABCC10,89845
ABCC11,9.77079665213423e-7,1.09461611500099e-6,1.69939787905434e-6,1.72113821207313e-5,2.20708261639933e-7,5.88419057074509e-6,ABCC11,85320
ABCC12,6.4487257904086e-6,4.22209072928955e-6,1.21385562789596e-6,2.76232058727786e-6,1.54495783147953e-6,3.03124968795959e-6,ABCC12,94160
ABCC13,6.83955765649396e-6,1.56373730714428e-7,3.64156688368787e-6,1.1707989566077e-4,2.20708261639933e-7,5.34926415522281e-7,ABCC13,150000
ABCC2,1.95415933042685e-7,1.56373730714428e-7,2.18494013021272e-6,7.01204456770533e-6,2.20708261639933e-7,5.34926415522281e-7,ABCC2,1244
ABCC3,1.1822663949082e-4,8.91330265072238e-6,1.38379541580139e-5,4.22847536052533e-5,1.16975378669165e-5,8.3805138431824e-6,ABCC3,8714
ABCC4,4.74860717293724e-5,4.84758565214726e-6,3.22885597020324e-5,2.12486199021374e-7,5.62806067181829e-5,5.34926415522281e-7,ABCC4,10257
ABCC5,6.05789392432323e-6,9.42933596208e-5,1.2891146768255e-4,2.35859680913725e-5,6.62124784919799e-7,5.26010975263576e-5,ABCC5,10057
ABCC6,2.5404071295549e-6,5.78582803643383e-6,2.1606630176548e-5,8.71193415987632e-6,5.51770654099833e-6,3.38786729830778e-6,ABCC6,368
ABCC6P1,1.95415933042685e-7,3.28384834500298e-6,2.42771125579191e-7,1.48740339314961e-6,1.54495783147953e-6,3.03124968795959e-6,ABCC6P1,653190
ABCC8,1.93461773712258e-5,2.65835342214527e-6,4.61265138600463e-6,2.12486199021374e-7,4.39209440663467e-5,3.03124968795959e-6,ABCC8,6833
ABCC9,1.50470268442867e-5,7.81868653572139e-7,2.45198836834983e-5,6.37458597064121e-7,4.34795275430668e-5,3.01341880744218e-5,ABCC9,10060
ABCD1,1.54378587103721e-5,4.22209072928955e-6,2.42771125579191e-7,2.12486199021374e-7,2.20708261639933e-7,5.17095535004871e-6,ABCD1,215
ABCD2,3.32207086172564e-6,2.97110088357413e-6,7.28313376737574e-7,4.88718257749159e-6,3.310623924599e-6,1.78308805174094e-7,ABCD2,225
ABCD3,6.4487257904086e-6,1.1806216668939e-4,1.5561629149626e-4,2.52858576835435e-5,4.08310284033876e-5,3.47702170089482e-5,ABCD3,5825
ABCD4,2.14957526346953e-6,7.34956534357811e-6,1.72367499161226e-5,3.61226538336335e-6,6.62124784919799e-7,4.10110251900415e-6,ABCD4,5826
ABCE1,9.77079665213423e-7,1.3432503468369e-4,9.24957988456719e-5,1.21117133442183e-5,4.96593588689849e-5,2.62113943605918e-5,ABCE1,6059
ABCF1,1.95415933042685e-7,4.53483819071841e-6,7.28313376737574e-7,9.11565793801693e-5,7.72478915739766e-6,3.19172761261628e-5,ABCF1,23
ABCF2,1.34836993799452e-5,9.5387975735801e-6,1.04391583999052e-5,3.03855264600564e-5,4.19345697115873e-6,4.10110251900415e-6,ABCF2,10061
ABCF2-H2BK1,4.51410805328602e-5,2.54889181064517e-5,6.0935552520377e-5,4.99342567700228e-5,1.54495783147953e-6,6.8648889992026e-5,ABCF2-H2BK1,114483834
ABCF3,1.66103543086282e-5,4.84758565214726e-6,3.37451864555076e-5,1.89112717129022e-5,2.42779087803926e-6,1.23033075570125e-5,ABCF3,55324
ABCG1,1.8310472926099e-4,6.55205931693452e-5,9.83223058595724e-5,3.93099468189541e-5,3.310623924599e-6,8.79062409508281e-5,ABCG1,9619
ABCG2,9.77079665213423e-7,1.56373730714428e-7,1.28668696556971e-5,1.9336244110945e-5,1.56702865764352e-5,2.87077176330291e-5,ABCG2,9429
ABCG4,1.34836993799452e-5,1.56373730714428e-7,2.42771125579191e-7,1.33866305383465e-5,1.21389543901963e-5,1.78308805174094e-7,ABCG4,64137
ABCG5,2.5404071295549e-6,2.03285849928756e-6,7.28313376737574e-7,6.37458597064121e-7,1.54495783147953e-6,1.24816163621866e-6,ABCG5,64240
ABCG8,4.49456645998175e-6,7.81868653572139e-7,2.6704823813711e-6,2.76232058727786e-6,6.62124784919799e-7,1.78308805174094e-7,ABCG8,64241
ABHD1,2.14957526346953e-6,1.09461611500099e-6,1.69939787905434e-6,1.21117133442183e-5,2.42779087803926e-6,1.78308805174094e-7,ABHD1,84696
ABHD10,3.14619652198722e-5,4.64429980221851e-5,7.55018200551285e-5,3.1872929853206e-6,2.86920740131913e-6,5.17095535004871e-6,ABHD10,55347
ABHD11,7.6212213886647e-6,1.56373730714428e-7,3.08319329485573e-5,6.99079594780319e-5,8.40898476848145e-5,6.95404340178965e-6,ABHD11,83451
ABHD12,3.88877706754943e-5,2.23614434921632e-5,7.55018200551285e-5,4.01598916150396e-5,7.28337263411779e-6,5.5275729603969e-6,ABHD12,26090
ABHD12B,2.5404071295549e-6,2.34560596071642e-6,8.98253164643008e-6,3.1872929853206e-6,2.20708261639933e-7,2.31801446726322e-6,ABHD12B,145447
ABHD13,9.77079665213423e-7,5.47308057500497e-6,2.6704823813711e-6,1.91237579119236e-6,1.47874535298755e-5,1.78308805174094e-7,ABHD13,84945
ABHD14A,4.98310629258846e-5,4.69121192143283e-7,3.15602463252949e-6,6.37458597064121e-7,2.42779087803926e-6,8.73713145353059e-6,ABHD14A,25864
ABHD14B,9.77079665213423e-7,3.28384834500298e-6,2.42771125579191e-7,6.16209977161983e-6,3.75204044787886e-6,8.91544025870468e-7,ABHD14B,84836
ABHD15,2.93123899564027e-6,1.09461611500099e-6,3.64156688368787e-6,1.06243099510687e-6,4.19345697115873e-6,1.78308805174094e-7,ABHD15,116236
ABHD16A,4.74860717293724e-5,1.56373730714428e-7,3.56873554601411e-5,2.65607748776717e-5,2.20708261639933e-7,4.1902569215912e-5,ABHD16A,7920
ABHD16B,2.09095048355673e-5,4.84758565214726e-6,7.52590489295493e-6,1.06243099510687e-6,2.20708261639933e-7,9.45036667422696e-6,ABHD16B,140701
ABHD17A,5.27623019215249e-6,4.69121192143283e-7,5.5837358883214e-6,7.01204456770533e-6,1.54495783147953e-6,1.60477924656684e-6,ABHD17A,81926
