...1,CDSeq_estimated_cell_type_1,CDSeq_estimated_cell_type_2,CDSeq_estimated_cell_type_3,CDSeq_estimated_cell_type_4,CDSeq_estimated_cell_type_5,CDSeq_estimated_cell_type_6,SYMBOL,ENTREZID
ABCA2,9.28840701404284e-5,1.79941295951609e-7,5.20252570103338e-5,2.13235478782359e-6,8.3179798184746e-5,1.78831534406008e-5,ABCA2,20
ABCA3,2.85459317216447e-6,7.37759313401596e-6,7.70641507586228e-5,1.91911930904123e-5,9.177719334596e-5,1.19876083502929e-5,ABCA3,21
ABCA4,6.80710679516142e-6,1.79941295951609e-7,1.94746951375581e-6,2.36928309758177e-7,1.61201159272764e-5,2.55473620580012e-6,ABCA4,24
ABCA5,1.60296385821543e-5,2.53717227291768e-5,5.03559974271146e-5,4.05147409686482e-5,1.50454415321246e-6,8.45028129610808e-6,ABCA5,23461
ABCA6,2.41542499183147e-6,1.79941295951609e-7,2.78209930536545e-7,2.60621140733994e-6,1.07467439515176e-6,7.27117227804648e-6,ABCA6,23460
ABCA7,8.12461133616041e-6,1.79941295951609e-7,2.97684625674103e-5,3.05637519588048e-5,4.83603477818291e-5,8.84331763546194e-6,ABCA7,10347
ABCA8,1.09792045083249e-6,1.79941295951609e-7,4.53482186774568e-5,1.5376647303305e-4,2.14934879030351e-7,9.5311312293312e-5,ABCA8,10351
ABCA9,1.69079749428203e-5,2.60914879129833e-5,1.75272256238023e-5,7.1078492927453e-7,4.94350221769808e-6,1.82761897799547e-5,ABCA9,10350
ABCB1,2.04213203854843e-5,4.49853239879022e-6,5.28598868019435e-6,3.0800680268563e-6,2.77265993949153e-5,2.8888170942509e-5,ABCB1,5243
ABCB10,2.19584090166497e-7,8.99706479758044e-7,3.06030923590199e-6,1.65849816830724e-6,2.14934879030351e-7,2.94777254515398e-6,ABCB10,23456
ABCB11,3.73292953283046e-6,8.99706479758044e-7,2.5038893748289e-6,4.50163788540536e-6,2.79415342739457e-6,1.76866352709239e-6,ABCB11,8647
ABCB4,6.36793861482843e-6,1.79941295951609e-7,1.94746951375581e-6,3.55392464637265e-6,1.01019393144265e-5,1.96518169676932e-7,ABCB4,5244
ABCB5,1.69079749428203e-5,1.79941295951609e-7,1.41887064573638e-5,5.92320774395442e-6,1.50454415321246e-6,1.96518169676932e-7,ABCB5,340273
ABCB6,7.13648293041117e-5,8.99706479758044e-7,3.92276002056528e-5,1.25572004171834e-5,4.49213897173434e-5,6.48509959933876e-6,ABCB6,10058
ABCB7,2.19584090166497e-7,6.65782795020952e-6,6.39882840234052e-6,2.48774725246086e-5,6.44804637091054e-7,1.51318990651238e-5,ABCB7,22
ABCB8,1.38337976804893e-5,2.33923684737091e-6,6.95524826341361e-6,1.91911930904123e-5,4.92200872979505e-5,1.76866352709239e-6,ABCB8,11194
ABCB9,2.83263476314782e-5,3.00501964239187e-5,7.31692117311112e-5,2.36928309758177e-7,4.7070738507647e-5,1.00224266535235e-5,ABCB9,23457
ABCC1,3.53530385168061e-5,4.58850304676602e-5,7.70641507586228e-5,7.1078492927453e-7,3.37447760077652e-5,5.52216056792179e-5,ABCC1,4363
ABCC10,4.61126589349645e-6,2.69911943927413e-6,1.39104965268272e-6,2.6654434847794e-4,6.44804637091054e-7,3.73384522386171e-6,ABCC10,89845
ABCC11,2.85459317216447e-6,1.79941295951609e-7,9.73734756877906e-6,1.54003401342815e-5,1.50454415321246e-6,1.96518169676932e-7,ABCC11,85320
ABCC12,6.80710679516142e-6,8.99706479758044e-7,8.62450784663288e-6,2.36928309758177e-7,1.93441391127316e-6,3.34080888450784e-6,ABCC12,94160
ABCC13,2.19584090166497e-7,8.99706479758044e-7,1.39104965268272e-6,4.19363108271973e-5,2.14934879030351e-7,1.76866352709239e-6,ABCC13,150000
ABCC2,6.58752270499492e-7,1.61947166356448e-6,2.5038893748289e-6,1.65849816830724e-6,1.93441391127316e-6,5.89554509030796e-7,ABCC2,1244
ABCC3,7.66348474681076e-5,3.00501964239187e-5,8.06808798555979e-6,1.91911930904123e-5,5.05096965721326e-5,1.96518169676932e-7,ABCC3,8714
ABCC4,3.18396930741421e-5,2.50118401372736e-5,2.5038893748289e-6,2.77206122417067e-5,3.07356877013402e-5,9.8259084838466e-7,ABCC4,10257
ABCC5,4.5453906664465e-5,3.05900203117735e-6,4.64610583996029e-5,8.22141234860873e-5,1.296057320553e-4,4.42165881773097e-5,ABCC5,10057
ABCC6,2.87655158118112e-5,1.9793542554677e-6,3.06030923590199e-6,2.13235478782359e-6,6.44804637091054e-7,3.73384522386171e-6,ABCC6,368
ABCC6P1,1.09792045083249e-6,1.79941295951609e-7,8.34629791609634e-7,5.44935112443807e-6,2.36428366933387e-6,1.96518169676932e-7,ABCC6P1,653190
ABCC8,3.05221885331431e-5,3.05900203117735e-6,3.25505618727757e-5,2.13235478782359e-6,2.79415342739457e-6,1.12015356715851e-5,ABCC8,6833
ABCC9,1.25162931394904e-5,1.38554797882739e-5,4.75738981217491e-5,1.30310570366997e-5,6.23311149188019e-6,7.27117227804648e-6,ABCC9,10060
