...1,CDSeq_estimated_cell_type_1,CDSeq_estimated_cell_type_2,CDSeq_estimated_cell_type_3,CDSeq_estimated_cell_type_4,CDSeq_estimated_cell_type_5,CDSeq_estimated_cell_type_6,SYMBOL,ENTREZID
ABCA2,1.20884155668945e-5,7.44329877673369e-5,1.82962942550088e-5,4.65422040614807e-5,5.59509801594433e-6,6.89142953433168e-5,ABCA2,20
ABCA3,8.50666280633314e-6,6.54932555550719e-5,2.23621374227885e-5,1.65369736042624e-5,1.74634877467353e-5,7.44091228789966e-5,ABCA3,21
ABCA4,4.02947185563149e-6,1.74907804153011e-6,5.64700439969407e-6,5.62598071072844e-6,1.69548424725586e-7,1.25923131025994e-5,ABCA4,24
ABCA5,4.46226698086598e-5,9.71710023072283e-7,1.0593780253826e-4,7.67179187826605e-6,1.69548424725586e-7,2.03766521114791e-5,ABCA5,23461
ABCA6,1.49239698356722e-7,5.8302601384337e-7,2.48468193586539e-6,5.2850121828055e-6,1.69548424725586e-7,5.72377868299974e-6,ABCA6,23460
ABCA7,7.31274521947936e-6,2.31266985491203e-5,2.14586167188375e-5,1.53435837565321e-6,1.00033570588096e-5,7.57828297629165e-5,ABCA7,10347
ABCA8,8.10371562076999e-5,4.80024751397708e-5,1.12940087993881e-6,1.70484263961468e-7,3.37401365203916e-5,2.28951147319989e-7,ABCA8,10351
ABCA9,1.56701683274558e-5,3.16777467521564e-5,1.46822114392046e-5,1.70484263961468e-7,6.95148541374902e-6,2.28951147319989e-7,ABCA9,10350
ABCB1,1.74610447077364e-5,9.71710023072283e-7,3.81737497419319e-5,1.70484263961468e-7,4.91690431704199e-6,4.51033760220379e-5,ABCB1,5243
ABCB10,1.04467788849705e-6,1.94342004614457e-7,1.58116123191434e-6,1.70484263961468e-7,1.69548424725586e-7,5.26587638835976e-6,ABCB10,23456
ABCB11,4.47719095070165e-7,1.1077494263024e-5,2.03292158388986e-6,3.92113807111376e-6,1.69548424725586e-7,1.60265803123993e-6,ABCB11,8647
ABCB4,2.53707487206427e-6,7.57933817996381e-6,2.25880175987763e-7,5.62598071072844e-6,1.86503267198144e-6,3.43426720979984e-6,ABCB4,5244
ABCB5,1.04467788849705e-6,3.05116947244697e-5,2.03292158388986e-6,5.11452791884403e-7,2.54322637088379e-6,1.14475573659995e-6,ABCB5,340273
ABCB6,1.7162565311023e-5,8.49274560165175e-5,1.58116123191434e-6,2.06285959393376e-5,4.57780746759082e-6,4.96823989684377e-5,ABCB6,10058
ABCB7,4.02947185563149e-6,1.41869663368553e-5,5.64700439969407e-6,1.82418162438771e-5,3.89961376868848e-6,9.84489933475955e-6,ABCB7,22
ABCB8,7.01426582276592e-6,5.03345791951442e-5,6.77640527963288e-7,3.92113807111376e-6,1.13597444566143e-5,1.90029452275591e-5,ABCB8,11194
ABCB9,4.62643064905837e-6,5.34440512689756e-5,1.3326930383278e-5,4.27915502543284e-5,5.08645274176758e-7,6.20457609237171e-5,ABCB9,23457
ABCC1,4.47719095070165e-7,1.1077494263024e-5,2.25880175987763e-7,1.2735174517921e-4,3.78092987138056e-5,1.0783599038771e-4,ABCC1,4363
ABCC10,3.13403366549116e-6,4.08118209690359e-6,1.12940087993881e-6,9.15500497473082e-5,1.50898098005771e-5,1.5316831755707e-4,ABCC10,89845
ABCC11,1.49239698356722e-7,3.69249808767467e-6,2.25880175987763e-7,1.03995401016495e-5,1.69548424725586e-7,1.25923131025994e-5,ABCC11,85320
ABCC12,3.73099245891804e-6,5.8302601384337e-7,1.24234096793269e-5,5.96694923865137e-6,1.69548424725586e-7,2.28951147319989e-7,ABCC12,94160
ABCC13,1.49239698356722e-7,4.37269510382527e-5,3.38820263981644e-6,8.52421319807339e-7,2.20412952143262e-6,2.51846262051988e-6,ABCC13,150000
ABCC2,1.64163668192394e-6,1.94342004614457e-7,2.93644228784092e-6,8.52421319807339e-7,2.54322637088379e-6,6.86853441959968e-7,ABCC2,1244
ABCC3,5.82034823591215e-6,9.85313963395295e-5,8.15427435315823e-5,3.23920101526789e-6,5.08645274176758e-7,3.27400140667585e-5,ABCC3,8714
ABCC4,4.47719095070165e-7,5.24723412459033e-6,1.58116123191434e-6,4.94404365488257e-6,3.27228459720381e-5,9.73042376109955e-5,ABCC4,10257
ABCC5,2.19382356584381e-5,9.71710023072283e-7,3.45596669261277e-5,1.464459827429e-4,1.0359408750733e-4,8.01329015619963e-6,ABCC5,10057
ABCC6,1.94011607863738e-6,9.71710023072283e-7,1.69410131990822e-5,1.53435837565321e-6,6.61238856429785e-6,2.35819681739589e-5,ABCC6,368
ABCC6P1,1.3431572852105e-6,1.94342004614457e-7,3.38820263981644e-6,2.89823248734495e-6,1.1868389730791e-6,1.14475573659995e-6,ABCC6P1,653190
ABCC8,1.64163668192394e-6,1.88511744476023e-5,4.26913532616872e-5,1.19338984773027e-6,3.89961376868848e-6,2.0834554406119e-5,ABCC8,6833
ABCC9,3.4325130622046e-6,4.85855011536141e-6,2.86867823504459e-5,3.69950852796385e-5,1.33943255533213e-5,8.01329015619963e-6,ABCC9,10060
ABCD1,1.3431572852105e-6,1.74907804153011e-6,3.83996299179197e-6,8.01276040618899e-6,5.08645274176758e-7,9.38699704011957e-6,ABCD1,215
ABCD2,7.01426582276592e-6,9.71710023072283e-7,1.01646079194493e-5,1.87532690357615e-6,5.08645274176758e-7,2.28951147319989e-7,ABCD2,225
ABCD3,6.31283924048933e-5,5.65535233428069e-5,2.48468193586539e-6,6.18857878180128e-5,9.03693103787373e-5,3.13663071828386e-5,ABCD3,5825
